"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,29.0,0.0,0.2767269015312195,"Wisconsin state Sen. Scott Fitzgerald <font color = red>says</font> some people have been found to be voting five or six <font color = red>times</font> a day",1.0,0.5893664956092834,"Wisconsin state Sen. Scott Fitzgerald <font color = green>sasy</font> some people have been found to be voting five or six <font color = green>timJs</font> a day","Successful"
0.0,40.0,0.0,0.10322856903076172,"<font color = red>Rand</font> Paul said that <font color = red>Marco</font> <font color = red>Rubio</font> is for an '<font color = red>open</font> <font color = red>border'</font>",0.0,0.19811797142028809,"<font color = red>and</font> Paul said that <font color = red>arco</font> <font color = red>ARubio</font> is for an '<font color = red>poen</font> <font color = red>qorder'</font>","Failed"
0.0,1.0,1.0,0.5340422987937927,"Microsoft virus warning",1.0,0.5340422987937927,"Microsoft virus warning","Skipped"
0.0,65.0,0.0,0.06642770767211914,"A U.S. <font color = red>surgeon</font> who exposed “Clinton <font color = red>Foundation</font> <font color = red>corruption</font> in Haiti” was <font color = red>found</font> <font color = red>dead</font> in his <font color = red>home</font> under suspicious <font color = red>circumstances</font>.",0.0,0.22337275743484497,"A U.S. <font color = red>slrgeon</font> who exposed “Clinton <font color = red>toundation</font> <font color = red>corrupqion</font> in Haiti” was <font color = red>fonud</font> <font color = red>deaad</font> in his <font color = red>hom</font> under suspicious <font color = red>circumstanees</font>.","Failed"
0.0,24.0,0.0,0.3195216655731201,"<font color = red>Michele</font> Bachmann said that <font color = red>solar</font> power drains the sun of <font color = red>heat</font>.",1.0,0.5404136180877686,"<font color = green>Micele</font> Bachmann said that <font color = green>soar</font> power drains the sun of <font color = green>haet</font>.","Successful"
0.0,31.0,0.0,0.1199309229850769,"Tonopah Solar Company $737 Million Government <font color = red>Loan</font> <font color = red>For</font> <font color = red>Solar</font> <SPLIT><font color = red>Project</font>",1.0,0.6283653378486633,"Tonopah Solar Company $737 Million Government <font color = green>oLan</font> <font color = green>oFr</font> <font color = green>Sloar</font> <SPLIT><font color = green>ProjCct</font>","Successful"
0.0,46.0,0.0,0.1472145915031433,"The <font color = red>zodiac</font> is about to <font color = red>change</font> to include a ""<font color = red>new</font>"" <font color = red>star</font> <font color = red>sign</font>, <font color = red>Ophiuchus</font>.",0.0,0.3033030033111572,"The <font color = red>zodica</font> is about to <font color = red>chnage</font> to include a ""<font color = red>enw</font>"" <font color = red>stYr</font> <font color = red>isgn</font>, <font color = red>Ophichus</font>.","Failed"
0.0,14.0,0.0,0.45101797580718994,"<font color = red>Bill</font> Clinton’s 1996 Immigration Law Behind Child Separations",1.0,0.5696573853492737,"<font color = green>Bil</font> Clinton’s 1996 Immigration Law Behind Child Separations","Successful"
0.0,1.0,1.0,0.6357971429824829,"Warner says Gillespie supports a personhood amendment",1.0,0.6357971429824829,"Warner says Gillespie supports a personhood amendment","Skipped"
0.0,10.0,0.0,0.35188448429107666,"<font color = red>Is</font> Price guilty of ""Tomfoolery""?",1.0,0.5938177704811096,"<font color = green>I</font> Price guilty of ""Tomfoolery""?","Successful"
0.0,1.0,1.0,0.5358695983886719,"Arizona School Requires Female Students to Wear Hijab for One Month",1.0,0.5358695983886719,"Arizona School Requires Female Students to Wear Hijab for One Month","Skipped"
0.0,16.0,0.0,0.44202059507369995,"Websites offer false headlines about treason '<font color = red>charges'</font> for Trump, Comey, others",1.0,0.5619131326675415,"Websites offer false headlines about treason '<font color = green>cKarges'</font> for Trump, Comey, others","Successful"
0.0,58.0,0.0,0.3718752861022949,"<font color = red>Barack</font> Obama says that what <font color = red>he'd</font> <font color = red>said</font> was you could <font color = red>keep</font> your plan 'if it hasn’t changed since the <font color = red>law</font> passed'",1.0,0.5326868891716003,"<font color = green>Barac</font> Obama says that what <font color = green>he'G</font> <font color = green>ssaid</font> was you could <font color = green>eep</font> your plan 'if it hasn’t changed since the <font color = green>aw</font> passed'","Successful"
0.0,63.0,0.0,0.1401786208152771,"<font color = red>Providence</font> <font color = red>firefighters</font>’ union <font color = red>says</font> <font color = red>Elorza</font> <font color = red>wants</font> to <font color = red>teach</font> public school children <font color = red>God</font> does not <font color = red>exist</font>",0.0,0.4676530957221985,"<font color = red>Providendce</font> <font color = red>firefihters</font>’ union <font color = red>sjys</font> <font color = red>Elroza</font> <font color = red>wanst</font> to <font color = red>teOach</font> public school children <font color = red>fod</font> does not <font color = red>exits</font>","Failed"
0.0,24.0,0.0,0.17500877380371094,"Prince Harry <font color = red>never</font> said <font color = red>Donald</font> <font color = red>Trump</font> wasn't welcome at his wedding",1.0,0.6037535071372986,"Prince Harry <font color = green>nJver</font> said <font color = green>oDnald</font> <font color = green>Trmp</font> wasn't welcome at his wedding","Successful"
0.0,60.0,0.0,0.1317124366760254,"Nancy Pelosi says Supreme <font color = red>Court</font> is 'five guys who <font color = red>start</font> <font color = red>determining</font> what <font color = red>contraceptions</font> are <font color = red>legal'</font>",0.0,0.39123088121414185,"Nancy Pelosi says Supreme <font color = red>Cout</font> is 'five guys who <font color = red>satrt</font> <font color = red>dteermining</font> what <font color = red>contracetions</font> are <font color = red>legal</font>","Failed"
0.0,46.0,0.0,0.12274277210235596,"<font color = red>John</font> Boehner <font color = red>says</font> <font color = red>Keystone</font> <font color = red>XL</font> <font color = red>pipeline</font> <font color = red>would</font> <font color = red>create</font> <font color = red>100</font>,<font color = red>000</font> jobs",1.0,0.6290122866630554,"<font color = green>JoWn</font> Boehner <font color = green>sas</font> <font color = green>eKystone</font> <font color = green>X</font> <font color = green>pipelise</font> <font color = green>wouud</font> <font color = green>cerate</font> <font color = green>w00</font>,<font color = green>00A0</font> jobs","Successful"
0.0,12.0,0.0,0.44949764013290405,"The Iraq Study Group didn't <font color = red>say</font> that",1.0,0.7583244442939758,"The Iraq Study Group didn't <font color = green>ay</font> that","Successful"
0.0,17.0,0.0,0.46206700801849365,"Young Thief in Iran Punished by Running a <font color = red>Truck</font> Over His Arm",1.0,0.5837740898132324,"Young Thief in Iran Punished by Running a <font color = green>Trcuck</font> Over His Arm","Successful"
0.0,72.0,0.0,0.19404101371765137,"The <font color = red>Pentagon</font> purchased <font color = red>five</font> <font color = red>million</font> <font color = red>Powerball</font> <font color = red>tickets</font> at a cost of $<font color = red>10</font> <font color = red>million</font> so they <font color = red>could</font> <font color = red>buy</font> more F-35s if they won.",0.0,0.43580448627471924,"The <font color = red>Pennagon</font> purchased <font color = red>fvie</font> <font color = red>msillion</font> <font color = red>Powerall</font> <font color = red>tickest</font> at a cost of $<font color = red>01</font> <font color = red>mllion</font> so they <font color = red>oculd</font> <font color = red>byu</font> more F-35s if they won.","Failed"
0.0,81.0,0.0,0.09287428855895996,"In response to <font color = red>Donald</font> <font color = red>Trump's</font> congratulations on the Falcon <font color = red>Heavy</font> <font color = red>launch</font>, <font color = red>SpaceX</font> CEO <font color = red>Elon</font> <font color = red>Musk</font> <font color = red>called</font> the <font color = red>president</font> a ""dumbass.""",0.0,0.3208876848220825,"In response to <font color = red>onald</font> <font color = red>Turmp's</font> congratulations on the Falcon <font color = red>Heay</font> <font color = red>laucnh</font>, <font color = red>SpaecX</font> CEO <font color = red>Eon</font> <font color = red>Muosk</font> <font color = red>calJed</font> the <font color = red>prResident</font> a ""dumbass.""","Failed"
0.0,53.0,0.0,0.09907442331314087,"<font color = red>Donald</font> <font color = red>Trump</font> <font color = red>falsely</font> <font color = red>claims</font> Hillary <font color = red>Clinton</font> '<font color = red>wants</font> to <font color = red>abolish</font> the <font color = red>2nd</font> Amendment'",0.0,0.4904588460922241,"<font color = red>Dqonald</font> <font color = red>Trcump</font> <font color = red>Zfalsely</font> <font color = red>cAaims</font> Hillary <font color = red>Clintoe</font> '<font color = red>wantUs</font> to <font color = red>aboliHsh</font> the <font color = red>2n</font> Amendment'","Failed"
0.0,15.0,0.0,0.3594508171081543,"Unemployed Mothers Will Be Sent to Jail Under <font color = red>New</font> Law",1.0,0.5574197173118591,"Unemployed Mothers Will Be Sent to Jail Under <font color = green>sNew</font> Law","Successful"
0.0,24.0,0.0,0.2491779923439026,"<font color = red>RNC</font> chairman Michael Steele says VA has a manual that encourages vets to <font color = red>commit</font> suicide ",1.0,0.5035288333892822,"<font color = green>RC</font> chairman Michael Steele says VA has a manual that encourages vets to <font color = green>coNmmit</font> suicide ","Successful"
0.0,1.0,1.0,0.5761444568634033,"Common Houseplant Can Kill Children in Under a Minute",1.0,0.5761444568634033,"Common Houseplant Can Kill Children in Under a Minute","Skipped"
0.0,53.0,0.0,0.1220514178276062,"<font color = red>Anna</font> Mae Dickinson <font color = red>survived</font> a <font color = red>variety</font> of <font color = red>infamous</font> tragedies, <font color = red>including</font> the <font color = red>sinking</font> of the Titanic, the Hindenburg explosion, and the 9/11 terrorist <font color = red>attacks</font>.",1.0,0.5048297643661499,"<font color = green>nAna</font> Mae Dickinson <font color = green>surTived</font> a <font color = green>varity</font> of <font color = green>infmaous</font> tragedies, <font color = green>includin</font> the <font color = green>Vsinking</font> of the Titanic, the Hindenburg explosion, and the 9/11 terrorist <font color = green>attaks</font>.","Successful"
0.0,27.0,0.0,0.19090890884399414,"Fake news about Washington <font color = red>Post</font> and Roy Moore <font color = red>accuser</font> <font color = red>stems</font> from disputed Twitter account",1.0,0.5305103659629822,"Fake news about Washington <font color = green>Podt</font> and Roy Moore <font color = green>accsuer</font> <font color = green>sZtems</font> from disputed Twitter account","Successful"
0.0,1.0,1.0,0.727256178855896,"Ronald Rice claims Newark schools are funded largely by local property taxes",1.0,0.727256178855896,"Ronald Rice claims Newark schools are funded largely by local property taxes","Skipped"
0.0,40.0,0.0,0.10263514518737793,"<font color = red>An</font> <font color = red>audio</font> recording <font color = red>features</font> <font color = red>CNN</font> <font color = red>anchor</font> Jake Tapper <font color = red>using</font> racial <font color = red>slurs</font>.",1.0,0.5231797695159912,"<font color = green>on</font> <font color = green>acudio</font> recording <font color = green>eatures</font> <font color = green>NN</font> <font color = green>ancNor</font> Jake Tapper <font color = green>sing</font> racial <font color = green>lurs</font>.","Successful"
0.0,1.0,1.0,0.6142594218254089,"Oregon Labor Commissioner investigates 300 housing complaints a year?",1.0,0.6142594218254089,"Oregon Labor Commissioner investigates 300 housing complaints a year?","Skipped"
0.0,1.0,1.0,0.5115269422531128,"Hillary Clinton says economic stats were 100 times better under Bill Clinton than Ronald Reagan",1.0,0.5115269422531128,"Hillary Clinton says economic stats were 100 times better under Bill Clinton than Ronald Reagan","Skipped"
